"행정구역별(1)",행정구역별(2),계,계,계,계,계,침엽수,침엽수,침엽수,침엽수,침엽수,활엽수,활엽수,활엽수,활엽수,활엽수,혼효림,혼효림,혼효림,혼효림,혼효림,죽림,죽림,죽림,죽림,죽림,무립목지,무립목지,무립목지,무립목지,무립목지
"강원특별자치도",고성군,52098,52098,52098,52098,51936,14861,14861,14861,14861,13688,20756,20756,20756,20756,22095,12401,12401,12401,12401,11683,64,64,64,64,51,4016,4016,4016,4016,4419
"강원특별자치도",양양군,52220,52220,52220,52220,52027,15001,15001,15001,15001,15443,19883,19883,19883,19883,22477,15813,15813,15813,15813,12653,131,131,131,131,98,1392,1392,1392,1392,1356
"충청북도",소계,491135,491135,491135,491135,488337,152020,152020,152020,152020,146764,172760,172760,172760,172760,170399,137956,137956,137956,137956,140008,144,144,144,144,139,28255,28255,28255,28255,31027
"충청북도",청주시,47894,47894,47894,47894,47302,14419,14419,14419,14419,13929,16412,16412,16412,16412,14287,13356,13356,13356,13356,14732,18,18,18,18,15,3689,3689,3689,3689,4339
"충청북도",충주시,61825,61825,61825,61825,61131,16323,16323,16323,16323,15098,25017,25017,25017,25017,23196,15483,15483,15483,15483,17908,0,0,0,0,1,5002,5002,5002,5002,4928
"충청북도",제천시,64552,64552,64552,64552,64368,21196,21196,21196,21196,21803,20400,20400,20400,20400,21263,19219,19219,19219,19219,17642,0,0,0,0,0,3737,3737,3737,3737,3660
"충청북도",보은군,39127,39127,39127,39127,39064,13126,13126,13126,13126,12480,13185,13185,13185,13185,13476,11271,11271,11271,11271,11510,6,6,6,6,6,1539,1539,1539,1539,1592
"충청북도",옥천군,34478,34478,34478,34478,34431,8749,8749,8749,8749,8299,13913,13913,13913,13913,12495,9544,9544,9544,9544,10856,51,51,51,51,49,2221,2221,2221,2221,2732
"충청북도",영동군,64032,64032,64032,64032,63872,17860,17860,17860,17860,17459,22839,22839,22839,22839,23677,20018,20018,20018,20018,19213,67,67,67,67,66,3248,3248,3248,3248,3457
"충청북도",증평군,4111,4111,4111,4111,4065,1329,1329,1329,1329,1230,1518,1518,1518,1518,1319,1067,1067,1067,1067,1207,0,0,0,0,0,197,197,197,197,309
"충청북도",진천군,23799,23799,23799,23799,23527,6489,6489,6489,6489,6574,9191,9191,9191,9191,8690,6683,6683,6683,6683,6598,1,1,1,1,1,1435,1435,1435,1435,1664
"충청북도",괴산군,63858,63858,63858,63858,63656,23695,23695,23695,23695,22135,19722,19722,19722,19722,21269,17994,17994,17994,17994,16891,1,1,1,1,1,2446,2446,2446,2446,3360
"충청북도",음성군,24771,24771,24771,24771,24378,7330,7330,7330,7330,6772,8863,8863,8863,8863,7862,7085,7085,7085,7085,7964,0,0,0,0,0,1493,1493,1493,1493,1780
"충청북도",단양군,62688,62688,62688,62688,62543,21504,21504,21504,21504,20985,21700,21700,21700,21700,22865,16236,16236,16236,16236,15487,0,-,-,0,0,3248,3248,3248,3248,3206
"충청남도",소계,408040,408033,404556,408040,404097,151301,151694,151301,151301,154126,122885,122633,122885,122885,113303,108329,108549,108329,108329,108015,1647,1319,1647,1647,1530,23878,23838,20394,23878,27123
"충청남도",천안시,32630,32630,32630,32630,32298,6991,6991,6991,6991,7118,14063,14063,14063,14063,12512,9534,9534,9534,9534,10660,3,3,3,3,4,2039,2039,2039,2039,2004
"충청남도",공주시,60530,60530,57046,60530,60332,14536,14536,14536,14536,15928,24814,24814,24814,24814,23620,17632,17632,17632,17632,16518,64,64,64,64,58,3484,3484,-,3484,4208
"충청남도",보령시,33969,33969,33969,33969,33552,15847,15847,15847,15847,14825,7329,7329,7329,7329,7970,8304,8304,8304,8304,7645,197,197,197,197,185,2292,2292,2292,2292,2927
"충청남도",아산시,18887,18887,18887,18887,18450,5392,5392,5392,5392,5312,7489,7489,7489,7489,6401,5563,5563,5563,5563,6164,19,19,19,19,13,424,424,424,424,560
